EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
"100","Steven","King","SKING","515.123.4567","17/06/2003 00:00:00","AD_PRES","24000",null,null,"90"
"101","Neena","Kochhar","NKOCHHAR","515.123.4568","21/09/2005 00:00:00","AD_VP","17000",null,"100","90"
"102","Lex","De Haan","LDEHAAN","515.123.4569","13/01/2001 00:00:00","AD_VP","17000",null,"100","90"
"103","Alexander","Hunold","AHUNOLD","590.423.4567","03/01/2006 00:00:00","IT_PROG","9000",null,"102","60"
"104","Bruce","Ernst","BERNST","590.423.4568","21/05/2007 00:00:00","IT_PROG","6000",null,"103","60"
"105","David","Austin","DAUSTIN","590.423.4569","25/06/2005 00:00:00","IT_PROG","4800",null,"103","60"
"106","Valli","Pataballa","VPATABAL","590.423.4560","05/02/2006 00:00:00","IT_PROG","4800",null,"103","60"
"107","Diana","Lorentz","DLORENTZ","590.423.5567","07/02/2007 00:00:00","IT_PROG","4200",null,"103","60"
"108","Nancy","Greenberg","NGREENBE","515.124.4569","17/08/2002 00:00:00","FI_MGR","12008",null,"101","100"
"109","Daniel","Faviet","DFAVIET","515.124.4169","16/08/2002 00:00:00","FI_ACCOUNT","9000",null,"108","100"
"110","John","Chen","JCHEN","515.124.4269","28/09/2005 00:00:00","FI_ACCOUNT","8200",null,"108","100"
"111","Ismael","Sciarra","ISCIARRA","515.124.4369","30/09/2005 00:00:00","FI_ACCOUNT","7700",null,"108","100"
"112","Jose Manuel","Urman","JMURMAN","515.124.4469","07/03/2006 00:00:00","FI_ACCOUNT","7800",null,"108","100"
"113","Luis","Popp","LPOPP","515.124.4567","07/12/2007 00:00:00","FI_ACCOUNT","6900",null,"108","100"
"114","Den","Raphaely","DRAPHEAL","515.127.4561","07/12/2002 00:00:00","PU_MAN","11000",null,"100","30"
"115","Alexander","Khoo","AKHOO","515.127.4562","18/05/2003 00:00:00","PU_CLERK","3100",null,"114","30"
"116","Shelli","Baida","SBAIDA","515.127.4563","24/12/2005 00:00:00","PU_CLERK","2900",null,"114","30"
"117","Sigal","Tobias","STOBIAS","515.127.4564","24/07/2005 00:00:00","PU_CLERK","2800",null,"114","30"
"118","Guy","Himuro","GHIMURO","515.127.4565","15/11/2006 00:00:00","PU_CLERK","2600",null,"114","30"
"119","Karen","Colmenares","KCOLMENA","515.127.4566","10/08/2007 00:00:00","PU_CLERK","2500",null,"114","30"
"120","Matthew","Weiss","MWEISS","650.123.1234","18/07/2004 00:00:00","ST_MAN","8000",null,"100","50"
"121","Adam","Fripp","AFRIPP","650.123.2234","10/04/2005 00:00:00","ST_MAN","8200",null,"100","50"
"122","Payam","Kaufling","PKAUFLIN","650.123.3234","01/05/2003 00:00:00","ST_MAN","7900",null,"100","50"
